song_id,name,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21
0,Aretha Franklin - Respect,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,Aretha Franklin - (You Make Me Feel Like) A Natural Woman,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0
2,Ray Charles - I've Got a Woman,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0
3,Stevie Wonder - Superstition,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
4,"James Brown - It's A Man's, Man's Man's World",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
5,James Brown - I Got You (I Feel Good),0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
6,Bill Withers - Ain't No Sunshine,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
7,Etta James - A Sunday Kind of Love,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
8,Dusty Springfield - Son of a Preacher Man,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
9,AC/DC  - Back in Black,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
10,AC/DC  - Highway to Hell,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
11,David Bowie - Rebel Rebel,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
12,David Bowie - Heroes,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
13,Rolling S - (I cant get no) satisfaction,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
14,Rolling S - Start me up,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
15,Rolling S - Gimme Shelter,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
16,Pink Floyd - Time,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
17,Pink Floyd - Money,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
18,Pink Floyd - Breathe(in the Air),0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
19,Dave Brubeck - Take Five,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
20,Chet Baker - My Funny Valentine,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
21,Chet Baker - I Fall In Love Too Easily,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
22,Frank Sinatra - Fly Me to the Moon,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0
23,Miles Davis - Blue In Green,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
24,Edith Piaf - La vie en rose,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0
25,Billie Holiday - Strange Fruit,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
26,DEVO - Whip It,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
27,Kim Carnes - Bette Davis Eyes,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
28,A Flock of Seagulls - I Ran,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
29,The Bangles - Walk Like an Egyptian,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
30,Frankie Goes to Hollywood - Relax,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
31,Britney Spears - Toxic,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
32,Kesha - Tik Tok,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
33,Lady Gaga - Poker Face,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
34,Nicki Minaj - Anaconda,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
35,Adele - Rolling in the Deep,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
36,Aphex Twin - Xtal,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
37,Boards of Canada - Roygbiv,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
38,Bonobo - Kong,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0
39,Bonobo - Cirrus,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0
40,Tycho - A Walk,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
41,Tycho - Awake,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
42,Avicii - Levels,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
43,Duke Dumont - I Got U,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
44,Swedish House Mafia - Don't You Worry Child,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
45,Eric Prydz - Call on Me,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
